id,title,category,dependencies,checklist,overview
1,キックオフ・運営委員会発足,企画,,"運営メンバーが集まっている|イベントの実施意義が共有されている|キックオフミーティングが開催されている|初期メンバーの役割が決まっている","イベント運営の最初のステップです。コアメンバーを集め、キックオフミーティングを開催します。なぜこのイベントをやるのか、誰が中心になるのかを明確にします。"
2,イベントコンセプト設計,企画,1,"イベントの目的が明確になっている|ターゲット参加者が定義されている|「誰に・何を・何のために」が言語化されている","イベントの根幹となるコンセプトを設計するフェーズです。AIと20代のキャリアというテーマを明確にし、ターゲット参加者を定義します。"
3,Lumaイベントページ作成,広報,2,"Lumaイベントページが作成されている|参加登録設定が完了している|イベント情報が正確に入力されている","Lumaでイベントページを作成し、参加登録の設定を行います。イベントコンセプトが決まったらすぐに作成し、早期から参加者を募ります。"
4,開催決定バナー作成,制作,2,"開催決定バナーが作成されている|SNS用サイズが用意されている|イベントの基本情報が含まれている","イベント開催が決定したことを告知するためのバナーを作成します。イベント名、日時、場所、ハッシュタグを含めたシンプルなデザインで作成します。"
5,初期告知開始,広報,"3,4","SNSで開催決定を告知している|Lumaページがシェアされている|早期参加者が集まり始めている","開催決定バナーとLumaページを使って、SNSやメールで初期告知を開始します。早期から認知度を高め、参加者を募ります。"
6,会場・設備手配,運営,2,"会場が予約されている|必要な機材がリストアップされている|会場レイアウトが確定している","会場を予約し、必要な機材（音響・照明・プロジェクター等）をリストアップします。会場の下見も含みます。"
7,スポンサー獲得,営業,2,"スポンサーが決定している|リターン内容が明確になっている|支払い条件が確定している","スポンサー企業を獲得し、協賛プランとリターン内容を確定します。支払い期日や方法も明確にします。"
8,登壇者調整,営業,2,"登壇者が確定している|セッション内容が決定している|スライドが集計されている","登壇者候補をリストアップし、オファーを送付します。条件交渉、セッション内容の調整を実施します。"
9,集客用メインバナー作成,制作,"6,7,8","メインバナーが作成されている|登壇者情報が含まれている|スポンサーロゴが配置されている|複数サイズが用意されている","会場、スポンサー、登壇者が確定したら、本格的な集客用のメインバナーを作成します。登壇者の顔写真やスポンサーロゴを含めた魅力的なデザインにします。"
10,本格的な告知・集客開始,広報,9,"告知が本格化している|複数チャネルで拡散されている|参加者数が増加している|プレスリリースが配信されている|運営メンバーがSNSで発信している","メインバナーを使って、SNS、メール、Webサイトなどで本格的な告知を開始します。プレスリリースも配信し、運営メンバーも個人SNSで発信します。"
11,インフルエンサー営業,営業,"5,9","インフルエンサーリストが作成されている|営業メールが送付されている|イベント紹介の承諾を得ている|投稿がシェアされている","影響力のあるインフルエンサーに営業し、イベントをSNSで紹介してもらいます。拡散力を高め、ターゲット層へのリーチを最大化します。"
12,パートナー提携,営業,2,"パートナー候補がリストアップされている|交渉が完了している|ロゴ素材が集まっている|特典内容が決定している","コミュニティパートナーやメディアとの交渉を行い、ロゴ素材を集計します。パートナー特典も決定します。"
13,当日スタッフ募集・管理,運営,12,"スタッフが募集されている|LINEグループが作成されている|シフトが作成されている|当日マニュアルが完成している","当日運営を手伝うスタッフを募集し、LINEグループで連絡体制を整備します。シフトを作成し、当日のマニュアルを準備します。"
14,ケータリング・ノベルティ準備,運営,2,"予算が確定している|発注先が決定している|配布物が準備されている","ケータリングの予算を確定し、発注します。参加者に配布する資料やノベルティも準備します。"
15,タイムテーブル作成,運営,"6,8","タイムテーブルが作成されている|遅延に耐えられる設計になっている|関係者に共有されている","登壇者のセッション時間を調整し、遅延に耐えられるタイムテーブルを作成します。会場情報と登壇者情報の両方が必要です。"
16,進行台本・リハーサル,運営,"8,15","進行台本が作成されている|司会が決定している|リハーサルが完了している","イベントの進行台本を作成し、司会を決定します。本番前にリハーサルを実施し、時間配分や機材トラブルを事前に発見します。"
17,当日投影資料作成,制作,"7,8,15","投影資料のベースが完成している|登壇者資料以外のスライドが完成している|登壇者資料が差し込まれている|デザインが統一されている","当日投影する資料を作成します。タイムテーブル、スポンサーロゴ、登壇者情報を元に、オープニング、休憩案内、クロージングなどのベーススライドを作成し、登壇者資料を順次差し込みます。"
18,直前最終確認,運営,"6,13,14,16,17","機材が最終確認されている|スタッフ説明会が実施されている|投影資料が最終版になっている|印刷物が準備されている|配信準備が完了している","1週間前から前日にかけて、会場レイアウト、機材、スタッフ配置、投影資料、印刷物、配信環境などの最終確認を行います。"
19,当日会場設営,運営,18,"受付が設置されている|会場設営が完了している|機材テストが完了している|控室が準備されている","当日の朝、受付設置、会場設営、音響・照明・プロジェクターのテスト、スタッフ配置確認を行います。"
20,イベント運営,運営,19,"写真・動画撮影が実施されている|ブース運営が適切に行われている|SNS発信が実施されている","イベント実施中に写真・動画撮影を行い、SNSでリアルタイム発信します。ブースの運営も監視します。"
21,撤収・片付け,運営,20,"会場が片付けられている|機材が返却されている|関係者にお礼が伝えられている|忘れ物が確認されている","イベント終了後、会場を片付け、機材を返却します。スタッフや関係者にお礼を伝え、忘れ物を確認します。"
22,フォローアップ,運営,21,"お礼メールが送信されている|アンケートが実施されている|写真・動画が共有されている|振り返りが完了している|次回の改善点がまとまっている","参加者にお礼メールを送信し、アンケートを実施します。写真・動画を共有し、振り返りミーティングを実施して次回に向けた改善点をまとめます。"
